지자체,광역코드,수행기관코드,위수탁기간,이력_2020,이력_2021,이력_2022,이력_2023,이력_2024,이력_2025,이력_2026,시설유형구분,서비스_특화,서비스_응급안전,서비스_방문요양,서비스_재가노인,서비스_사서원소속,서비스_노인일자리,수탁법인명,수탁법인번호,사업자등록번호,고유번호,수행기관명,기관장명,우편번호,주소,배송지우편번호,배송지주소,대표전화,메인연락처,긴급연락처,팩스번호,이메일,복지부배정_전담사,복지부배정_생활사,복지부배정_대상자,현황_전담사_배정,현황_전담사_채용,현황_생활사_배정,현황_생활사_채용,현황_대상자_배정,현황_대상자_제공,공무원_성명,공무원_연락처,공무원_이메일,데이터기준일,기관명_확인
*광역지원기관,P01,A48000002,2026-01-01 ~ 2028-12-31 (3년),해당없음,해당없음,해당없음,해당,해당,해당,해당,사회서비스원,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,재단법인 경상남도 사회서비스원,195522-0004531,823-82-00258,823-82-00258,(재)경상남도 사회서비스원,조철현,51404,"경남 창원시 성산구 창원대로524,경남사회적경제혁신타운 본관동2층204호경상남도사회서비스원광역지원기관",51404,"경남 창원시 성산구 창원대로524,경남사회적경제혁신타운 본관동2층204호경상남도사회서비스원광역지원기관",055-288-6892,055-288-6892,010-7759-2829,055-237-8277,gnscc@naver.com,5,0,0,5,5,0,0,0,0,이승주,055-211-4874,sabana13@korea.kr,2026-01-05,경남광역수행기관
거제시,P02,A48310001,2026-01-01 ~ 2027-12-31 (2년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당없음,해당없음,해당,해당,해당없음,해당없음,(사)거제시자원봉사단체협의회,194921-0001889,612-82-62159,--,거제노인통합지원센터,김창규,53288,"경남 거제시 거제중앙로 1772 (상동동, 상동동 라푸름 아파트) 상가 3층",53288,"경남 거제시 거제중앙로 1772 (상동동, 상동동 라푸름 아파트) 상가 3층",055-638-2111,055-638-2111,055-638-2111,055-638-4698,geoje1365@hanmail.net,6,59,970,4,3,36,34,571,467,이도연,055-639-3794,lido2@korea.kr,2026-01-21,거제노인통합지원센터
거제시,P02,A48310002,2026-01-01 ~ 2027-12-31 (2년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당,해당없음,해당,해당없음,해당없음,해당없음,사회복지법인 소나무,194932-0001753,612-82-06837,--,거제사랑노인복지센터,이형철,53255,경상남도 거제시 고현로12길 6,53255,경상남도 거제시 고현로12길 6 (애니툴스 맞은편),055-637-6674,055-637-6675,010-6558-5026,055-637-6676,akwehf1004@naver.com,4,61,895,3,2,33,31,525,495,이도연 주무관(거제시청),055-639-3794,lido2@korea.kr@korea.kr,2026-01-13,거제사랑노인복지센터
거제시,P02,A48310003,2026-01-01 ~ 2027-12-31 (2년),해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당,노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,하청교회 행복늘푸른대학,184322-0000057,617-82-01176,612-82-91232,하청교회 행복늘푸른대학,홍명택,53204,경남 거제시 하청면 하청로 21-1,53204,경남 거제시 하청면 하청로 21-1,055-636-6660,055-636-6660,010-3221-9213,055-636-9677,happyuni6@daum.com,,,,2,2,30,30,465,389,이도연,055-639-3794,,2026-01-22,하청교회행복늘푸른대학
거제시,P02,A48310004,2026-01-01 ~ 2027-12-31 (2년),해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당,사회복지법인,해당없음,해당없음,해당없음,해당,해당없음,해당없음,은빛노인통합지원센터,194932-0001175,299-82-00606,299-82-00606,은빛노인통합지원센터,김은란,53285,경남 거제시 거제면 거제남서로 3554-9,53285,경남 거제시 거제면 거제남서로 3554-9,055-950-0595,055-950-0595,010-4845-0999,055-950-0581,silver0580@daum.net,,,,2,2,33,33,480,400,박경지,055-950-0595,silver0580@daum.net,2026-01-05,은빛노인통합지원센터
거창군,P03,A48880002,2024-01-01 ~ 2026-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,사회복지법인,해당,해당,해당,해당,해당없음,해당없음,거창노인통합지원센터,110132-0000537,611-82-07361,611-82-07361,거창노인통합지원센터,이경은,50135,경상남도 거창군 거창읍 창동로 174(2층),50135,경상남도 거창군 거창읍 창동로 174(2층),055-945-3365,055-943-1365,010-7101-6162,055-945-3364,945-3365@naver.com,3,46,690,3,2,46,41,690,631,이영화,055-940-3125,jojakchamsae@korea.kr,2026-01-22,거창노인통합지원센터
거창군,P03,A48880003,2024-01-01 ~ 2026-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,형린HS복지재단,191432-0001954,611-82-07610,611-82-07610,거창인애노인통합지원센터,김천호,50141,"경상남도 거창군 거창읍 장팔길 93, 2층",50141,"경상남도 거창군 거창읍 장팔길 93, 2층",055-942-9116,055-942-9116,010-9396-5823,055-942-3118,gudflshs@hanmail.net,3,46,690,3,3,46,43,706,666,이영화,055-940-3125,jojakchamsae@korea.kr,2026-01-19,거창인애노인통합지원센터
거창군,P03,A48880004,2024-01-01 ~ 2026-12-31 (3년),해당없음,해당없음,해당없음,해당없음,해당,해당,해당,재가노인복지시설,해당없음,해당없음,해당,해당없음,해당없음,해당없음,사회복지법인 해월,191432-0002770,611-82-08604,--,해월노인복지센터,염병섭,50141,경남 거창군 거창읍 절부길 13-26,50141,경남 거창군 거창읍 절부길 13-26,055-945-1080,055-945-1080,010-4933-9037,055-943-1398,sunmoon1079@hanmail.net,3,44,660,3,3,44,35,660,473,이영화,055-940-3125,,2025-12-30,해월노인복지센터
고성군,P04,A48820003,2026-01-01 ~ 2030-12-31 (5년),해당없음,해당없음,해당,해당,해당,해당,해당,사단법인,해당,해당없음,해당없음,해당없음,해당없음,해당없음,대한노인회 고성군지회,114221-0000493,612-82-65480,--,대한노인회 고성군지회(노인맞춤돌봄서비스),최종림,52934,경남 고성군 고성읍 남포로79번길 133,52934,경남 고성군 고성읍 남포로79번길 133,055-804-7500,055-804-7500,010-9214-2300,055-804-7501,gsmd8400@daum.net,5,80,1200,6,5,80,78,1200,1161,이동건 주무관,055-670-2374,ehdrjs6811@korea.kr,2026-01-14,대한노인회 고성군지회
고성군,P04,A48820005,2026-01-01 ~ 2030-12-31 (5년),해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당,협동조합,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,사회적협동조합 노인세상,195051-0003649,190-82-00503,190-82-00503,사회적협동조합 노인세상,배상길,52938,경남 고성군 고성읍 동외로 212,52938,경남 고성군 고성읍 동외로 212,055-674-8989,055-674-8989,010-5767-5917,000-0000-0000,mdniss1020@naver.com,,,,5,4,64,34,985,960,이동건,055-670-2374,,2026-01-07,사회적협동조합 노인세상
김해시,P05,A48250001,2024-01-01 ~ 2026-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당,해당없음,해당,해당없음,해당없음,해당없음,사회복지법인정수사복지재단,195532-0003293,615-82-67997,615-82-67997,효능원노인통합지원센터,이선자,50869,경상남도 김해시 진영읍 서부로 38번길 77-35,50869,경상남도 김해시 진영읍 서부로 38번길 77-35,055-343-7900,055-723-4888,010-7678-7803,055-342-4410,7900hyo@hanmail.net,5,37,605,5,5,37,36,605,505,김나영(김해시청노인복지과,055-330-4685,skdud4540@korea.kr,2026-01-22,효능원노인통합지원센터
김해시,P05,A48250004,2024-01-01 ~ 2026-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,사회복지관,해당없음,해당,해당없음,해당없음,해당없음,해당없음,인제대학교산학협력단,195571-0002988,622-82-60221,615-80-08785,김해시종합사회복지관,김희년,50958,경상남도 김해시 분성로 227 노인맞춤돌봄서비스사업,50958,경남 김해시 분성로 227 노인맞춤돌봄서비스사업,055-329-6336,070-7605-7774,010-2631-0824,055-329-6340,gcwc6336@hanmail.net,4,42,655,4,4,41,38,615,492,신은진,055-330-4685,qhrwk506@korea.kr,2026-01-14,김해시종합사회복지관
김해시,P05,A48250005,2024-01-01 ~ 2026-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,경남생명의전화,195532-0004621,615-82-10723,615-82-11528,생명의전화노인통합지원센터,김병식,50900,"경상남도 김해시 삼계로 69번길 15, 대명빌딩 401호",50900,"경상남도 김해시 삼계로 69번길 15, 대명빌딩 401호",055-325-9195,055-325-9195,055-327-9195,055-326-9195,lifegapa1@daum.net,5,42,680,3,2,43,39,619,570,신은진,055-330-4684,qhrwk506@korea.kr,2026-01-19,생명의전화노인통합지원센터
김해시,P05,A48250006,2024-01-01 ~ 2026-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당,해당,해당,해당,해당없음,해당없음,사회복지법인 보현행원,184632-0001769,622-82-00029,614-82-02972,보현행원노인통합지원센터,이진학,50877,경상남도 김해시 주촌면 서부로1295번길 219,50877,경상남도 김해시 주촌면 서부로1295번길 219,055-329-0070,055-329-0070,010-5456-9478,055-329-0071,bohyunst@daum.net,4,33,545,3,3,35,31,535,448,신은진,055-330-4684,qhrwk506@korea.kr,2026-01-14,보현행원노인통합지원센터
김해시,P05,A48250007,2024-01-01 ~ 2026-12-31 (3년),해당없음,해당없음,해당,해당,해당,해당,해당,협동조합,해당,해당없음,해당없음,해당없음,해당없음,해당없음,김해돌봄지원센터 사회적협동조합,195551-0008227,714-82-00537,--,김해돌봄지원센터,이소라,50905,경남 김해시 구산로27번길 4-2 (구산동) 3층 301호,50962,경남 김해시 구산로27번길 4-2 (구산동) 3층 301호,055-724-0515,055-724-0515,010-5541-6314,070-7600-4131,gdolbom@daum.net,3,31,490,3,3,29,24,435,334,김나영,055-330-4685,skdud4540@korea.kr,2026-01-07,김해돌봄지원센터
남해군,P06,A48840001,2025-01-01 ~ 2026-12-31 (2년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당,해당,해당없음,해당,해당없음,해당없음,대한불교조계종 화방사 화방복지원,194632-0000066,613-82-63409,613-82-63409,화방남해노인통합지원센터,고현옥,52407,경상남도 남해군 고현면 화방로211번길81-7,52407,경상남도 남해군 고현면 화방로211번길81-7,055-863-1737,055-863-1737,010-3067-5521,055-864-1738,jaegas1737@hanmail.net,4,68,1020,6,4,68,68,1070,982,류시현,055-860-3833,ris1205@korea.kr,2026-01-06,화방남해노인통합지원센터
남해군,P06,A48840002,2025-01-01 ~ 2026-12-31 (2년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당없음,해당없음,해당,해당,해당없음,해당,대한불교조계종 화방사 화방복지원,194632-0000066,613-82-13307,--,화방재가복지센터,천지훈,52407,경상남도 남해군 고현면 화방로211번길 81-20,52407,경상남도 남해군 고현면 화방로211번길 81-20,055-863-1988,055-863-1988,010-6436-8155,055-863-1989,hb8631988@naver.com,4,68,1020,4,4,62,61,962,794,류시현,055-860-3833,ris1205@korea.kr,2026-01-20,화방재가복지센터
밀양시,P07,A48270001,2023-01-01 ~ 2025-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,사단법인,해당없음,해당,해당없음,해당없음,해당없음,해당없음,사단법인밀양시자원봉사단체협의회,191321-0001876,615-82-67551,615-82-67551,밀양시자원봉사단체협의회,정준호,50422,경남 밀양시 밀성로3길 9 (내이동) 2층,50422,경남 밀양시 밀성로3길 9 (내이동) 2층,055-352-0094,055-352-0094,010-4484-1719,055-352-0098,jabong0094@naver.com,4,61,915,4,4,61,58,915,911,오성혜,055-359-5997,oshae@korea.kr,2026-01-09,밀양시자원봉사단체협의회
밀양시,P07,A48270002,2026-01-01 ~ 2028-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당,해당없음,해당없음,해당,해당없음,해당없음,사회복지법인 하남복지재단,191332-0000114,615-82-02183,65-82-06573,밀양노인통합지원센터,박래훈,50455,경상남도 밀양시 초동면 성만1길 50-8,50455,경상남도 밀양시 초동면 성만1길 50-8,055-391-1900,055-391-1904,010-7185-6753,055-391-1902,miryanggapa@hanmail.net,4,62,930,5,4,63,63,945,789,,,,2026-01-21,밀양노인통합지원센터
밀양시,P07,A48270003,2026-01-01 ~ 2028-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당,해당없음,해당없음,해당,해당없음,해당없음,사회복지사법인 성보,191332-0005582,615-82-12527,--,우리들노인통합지원센터,김두영,50429,경남 밀양시 용평로 49-6(용평동),50445,경상남도 밀양시 용평로 49-6(용평동),055-802-8765,055-802-8765,010-7532-2348,055-802-8766,dnflemfxhd@naver.com,5,50,800,5,5,52,50,830,793,전경미,055-359-5996,sprout3@korea.kr,2026-01-07,우리들노인통합지원센터
